キャンペーン: 敬語ボタン_Search_JP_20260622 (ID: 2144124119)
広告グループ: AG_Exact_HighIntent_JP_ManualCPT (ID: 2149384852)
"開始日: 2026/06/16"
"終了日: 2026/07/15"
通貨: JPY
時間帯: UTC
""

キーワードID,キーワード,マッチタイプ,ステータス,広告グループID,広告グループの名前,CPT入札額,Recommended Max CPT Bid,支出,平均CPA（合計）,平均CPT,平均CPM,1日の平均支出,インプレッション数,タップ数,インストール数（合計),TTR,CR（タップスルー,CR（タップスルー),New Downloads (Total),Redownloads (Total),インストール数（ビュースルー）,Installs (Tap-Through),平均CPA（タップスルー),新規ダウンロード数（ビュースルー),Redownloads (View-Through),新規ダウンロード数（タップスルー),再ダウンロード,予約注文済み（タップスルー）,予約注文済み（ビュースルー）,予約注文済み（合計）
"2279055447","ai キーボード","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279055448","aiキーボード","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048688","お礼 メール","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279055444","ビジネスメール","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","194.00","194.00","38.80","","","47","5","1","0.1064","0.2","0.2","1","0","0","1","194.00","0","0","1","0","0","0","0"
"2279048683","メール 作成","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048686","メール 添削","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048680","丁寧語","BROAD","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","40.00","","8.00","4.00","8.00","","","16","1","2","0.0625","2.0","1.0","2","0","1","1","8.00","1","0","1","0","0","0","0"
"2279055443","丁寧語 変換","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048690","仕事 メール","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279055445","就活 メール","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
